PSR_ID,Nearby_Features,Closest_SAR_File_raw,Calibrated_Filename,Exists_On_Portal,Size_Bytes,Size_GB,Centre_Lat,Centre_Lon
SP_875750_3329770,Haworth Crater,ch2_sar_ncxl_20210207t044223770_d_fp_d32.zip,ch2_sar_ncxl_20210207t044223770_d_fp_d32.zip,Yes,4783907536,4.78,-87.581255,-27.116391
SP_878090_3251650,Haworth Crater Cabeus Crater,ch2_sar_nrxl_20240915t154436092_d_cp_d18.zip,ch2_sar_ncxl_20240915t154436092_d_cp_d18.zip,Yes,3817051935,3.82,-87.762252,-35.175399
SP_871460_0840750,Faustini Crater,ch2_sar_ncxl_20241004t194221223_d_cp_d18.zip,ch2_sar_ncxl_20241004t194221223_d_cp_d18.zip,Yes,2779494919,2.78,-87.158947,83.88754
SP_869800_1078330,Faustini Crater Slater Crater,ch2_sar_nrxl_20201114t082810348_d_fp_d18.zip,ch2_sar_ncxl_20201114t082810348_d_fp_d18.zip,Yes,4171520031,4.17,-86.71691,109.473736
SP_872560_3120600,Cabeus Crater Haworth Crater,ch2_sar_nrxl_20241014t183939886_d_cp_d18.zip,ch2_sar_ncxl_20241014t183939886_d_cp_d18.zip,Yes,3765294547,3.77,-87.240867,-46.52084
SP_873890_2512470,Ibn Bajja Crater Sverdrup Crater,ch2_sar_nrxl_20240904t041852013_d_cp_d18.zip,ch2_sar_ncxl_20240904t041852013_d_cp_d18.zip,Yes,4134510124,4.13,-87.361918,-110.165604
SP_861810_0724650,Amundsen Crater Shoemaker Crater,ch2_sar_ncxl_20191107t072342058_d_fp_d18.zip,ch2_sar_ncxl_20191107t072342058_d_fp_d18.zip,Yes,4838137285,4.84,-86.152402,72.691023
SP_875930_3125710,Ibn Bajja Crater Haworth Crater,ch2_sar_ncxl_20240831t165341701_d_cp_d18.zip,ch2_sar_ncxl_20240831t165341701_d_cp_d18.zip,Yes,3926724125,3.93,-87.626261,-47.527712
SP_881000_1147820,Slater Crater,ch2_sar_ncxl_20221031t112356848_d_fp_d32.zip,ch2_sar_ncxl_20221031t112356848_d_fp_d32.zip,Yes,358306825,0.36,-88.13458,114.787253
SP_896450_1282030,Shackleton Crater,ch2_sar_ncxl_20250917t163359347_d_cp_n18.zip,ch2_sar_ncxl_20250917t163359347_d_cp_n18.zip,Yes,2284443706,2.28,-89.644607,122.086082
SP_873660_3292250,"Haworth Crater, Malapert Mountain",ch2_sar_ncxl_20240926t140554081_d_cp_d18.zip,ch2_sar_ncxl_20240926t140554081_d_cp_d18.zip,Yes,4020819092,4.02,-87.331446,-30.387461
SP_887280_1688800,Sverdrup Crater Slater Crater,ch2_sar_nrxl_20250915t231559416_d_cp_d18.zip,ch2_sar_ncxl_20250915t231559416_d_cp_d18.zip,Yes,4190201147,4.19,-88.659122,167.413111
SP_887220_3463610,Haworth Crater Shackleton Crater,ch2_sar_nrxl_20250930t000207934_d_cp_d18.zip,ch2_sar_ncxl_20250930t000207934_d_cp_d18.zip,Yes,3703649223,3.7,-88.799217,-8.67256
SP_882670_1568690,Sverdrup Crater Slater Crater,ch2_sar_ncxl_20221027t081654505_d_fp_d32.zip,ch2_sar_ncxl_20221027t081654505_d_fp_d32.zip,Yes,589449601,0.59,-88.303479,158.083833
SP_858910_0680440,Shoemaker Crater Amundsen Crater,ch2_sar_nrxl_20210301t225151472_d_fp_d32.zip,ch2_sar_ncxl_20210301t225151472_d_fp_d32.zip,Yes,737914726,0.74,-85.852489,66.887153
SP_823050_2226590,Kocher Crater Laveran Crater,ch2_sar_nrxl_20211021t203526148_d_fp_d18.zip,ch2_sar_ncxl_20211021t203526148_d_fp_d18.zip,Yes,1752344165,1.75,-82.337454,-136.194228
SP_824700_2291520,Ashbrook Crater Kocher Crater,ch2_sar_nrxl_20210827t232320179_d_fp_d18.zip,ch2_sar_ncxl_20210827t232320179_d_fp_d18.zip,Yes,1701026452,1.7,-82.436611,-129.784408
SP_822410_0595740,von Baeyer Crater,ch2_sar_ncxl_20231014t083449362_d_fp_d18.zip,ch2_sar_ncxl_20231014t083449362_d_fp_d18.zip,Yes,1881818203,1.88,-82.281774,59.974718
SP_882490_2164550,Sverdrup Crater,ch2_sar_ncxl_20210316t083945788_d_fp_d18.zip,ch2_sar_ncxl_20210316t083945788_d_fp_d18.zip,Yes,2068523826,2.07,-88.274365,-145.616915
