PSR_ID,PSR_Latitude,PSR_Longitude,Area_km2,Coverage_pct,Nearby_Features,Closest_SAR_File,SAR_Center_Lat,SAR_Center_Lon,Distance_km,Top_3_SAR_Files
SP_875750_3329770,-87.575,332.977,11.268,85,Haworth Crater,ch2_sar_ncxl_20210207t044223770_d_fp_d32.zip,-87.581255,-27.116391,0.22,ch2_sar_ncxl_20210207t044223770_d_fp_d32.zip; ch2_sar_ncxl_20241011t110014539_d_cp_d18.zip; ch2_sar_nrxl_20241011t110014539_d_cp_d18.zip
SP_878090_3251650,-87.809,325.165,23.245,95,Haworth Crater Cabeus Crater,ch2_sar_nrxl_20240915t154436092_d_cp_d18.zip,-87.801301,-34.822877,0.23,ch2_sar_nrxl_20240915t154436092_d_cp_d18.zip; ch2_sar_ncxl_20240915t134814524_d_cp_d18.zip; ch2_sar_ncxl_20240915t154436092_d_cp_d18.zip
SP_871460_0840750,-87.146,84.075,663.93,97,Faustini Crater,ch2_sar_ncxl_20241004t194221223_d_cp_d18.zip,-87.158947,83.88754,0.48,ch2_sar_ncxl_20241004t194221223_d_cp_d18.zip; ch2_sar_ncxl_20201019t092257302_d_fp_d18.zip; ch2_sar_nrxl_20241004t194221223_d_cp_d18.zip
SP_869800_1078330,-86.98,107.833,68.548,90,Faustini Crater Slater Crater,ch2_sar_nrxl_20201114t082810348_d_fp_d18.zip,-86.959429,107.716236,0.65,ch2_sar_nrxl_20201114t082810348_d_fp_d18.zip; ch2_sar_ncxl_20241003t025347993_d_cp_d18.zip; ch2_sar_nrxl_20241003t025347993_d_cp_d18.zip
SP_872560_3120600,-87.256,312.06,20.423,90,Cabeus Crater Haworth Crater,ch2_sar_nrxl_20241014t183939886_d_cp_d18.zip,-87.278016,-47.691222,0.76,ch2_sar_nrxl_20241014t183939886_d_cp_d18.zip; ch2_sar_ncxl_20250422t155633428_d_cp_d18.zip; ch2_sar_nrxl_20241014t164303972_d_cp_d18.zip
SP_873890_2512470,-87.389,251.247,46.926,80,Ibn Bajja Crater Sverdrup Crater,ch2_sar_nrxl_20240904t041852013_d_cp_d18.zip,-87.367821,-109.124281,0.82,ch2_sar_nrxl_20240904t041852013_d_cp_d18.zip; ch2_sar_ncxl_20240904t041852013_d_cp_d18.zip; ch2_sar_nrxl_20241001t100653927_d_cp_d18.zip
SP_861810_0724650,-86.181,72.465,22.896,80,Amundsen Crater Shoemaker Crater,ch2_sar_ncxl_20191107t072342058_d_fp_d18.zip,-86.152402,72.691023,0.98,ch2_sar_ncxl_20191107t072342058_d_fp_d18.zip; ch2_sar_nrxl_20191107t072342058_d_fp_d18.zip; ch2_sar_nrxl_20200224t091346280_d_fp_d18.zip
SP_875930_3125710,-87.593,312.571,101.833,90,Ibn Bajja Crater Haworth Crater,ch2_sar_ncxl_20240831t165341701_d_cp_d18.zip,-87.626261,-47.527712,1.02,ch2_sar_ncxl_20240831t165341701_d_cp_d18.zip; ch2_sar_nrxl_20240831t165341701_d_cp_d18.zip; ch2_sar_nrxl_20210404t205743163_d_fp_d18.zip
SP_881000_1147820,-88.1,114.782,183.172,90,Slater Crater,ch2_sar_ncxl_20221031t112356848_d_fp_d32.zip,-88.13458,114.787253,1.05,ch2_sar_ncxl_20221031t112356848_d_fp_d32.zip; ch2_sar_nrxl_20221031t112356848_d_fp_d32.zip; ch2_sar_ncxl_20250923t201207530_d_cp_d18.zip
SP_896450_1282030,-89.645,128.203,233.698,65,Shackleton Crater,ch2_sar_ncxl_20250917t163359347_d_cp_n18.zip,-89.644607,122.086082,1.15,ch2_sar_ncxl_20250917t163359347_d_cp_n18.zip; ch2_sar_nrxl_20250917t163359347_d_cp_n18.zip; ch2_sar_ncxl_20210410t081806180_d_fp_d18.zip
SP_873660_3292250,-87.366,329.225,33.725,30,"Haworth Crater, Malapert Mountain",ch2_sar_ncxl_20240926t140554081_d_cp_d18.zip,-87.331446,-30.387461,1.18,ch2_sar_ncxl_20240926t140554081_d_cp_d18.zip; ch2_sar_nrxl_20240926t140554081_d_cp_d18.zip; ch2_sar_nrxl_20210403t015021255_d_fp_d18.zip
SP_887280_1688800,-88.728,168.88,88.607,85,Sverdrup Crater Slater Crater,ch2_sar_nrxl_20250915t231559416_d_cp_d18.zip,-88.682797,169.13053,1.38,ch2_sar_nrxl_20250915t231559416_d_cp_d18.zip; ch2_sar_ncxl_20250915t231559416_d_cp_d18.zip; ch2_sar_nrxl_20250915t152405159_d_cp_d18.zip
SP_887220_3463610,-88.722,346.361,55.674,0,Haworth Crater Shackleton Crater,ch2_sar_nrxl_20250930t000207934_d_cp_d18.zip,-88.771014,-14.074734,1.51,ch2_sar_nrxl_20250930t000207934_d_cp_d18.zip; ch2_sar_nrxl_20250929t121426137_d_cp_d18.zip; ch2_sar_nrxl_20250929t002650515_d_cp_d18.zip
SP_882670_1568690,-88.267,156.869,10.897,0,Sverdrup Crater Slater Crater,ch2_sar_ncxl_20221027t081654505_d_fp_d32.zip,-88.303479,158.083833,1.56,ch2_sar_ncxl_20221027t081654505_d_fp_d32.zip; ch2_sar_nrxl_20221027t081654505_d_fp_d32.zip; ch2_sar_ncxl_20251014t020832616_d_cp_d18.zip
SP_858910_0680440,-85.891,68.044,17.258,100,Shoemaker Crater Amundsen Crater,ch2_sar_nrxl_20210301t225151472_d_fp_d32.zip,-85.887755,67.293397,1.63,ch2_sar_nrxl_20210301t225151472_d_fp_d32.zip; ch2_sar_ncxl_20210301t225151472_d_fp_d32.zip; ch2_sar_nrxl_20191107t072342058_d_fp_d18.zip
SP_823050_2226590,-82.305,222.659,30.334,100,Kocher Crater Laveran Crater,ch2_sar_nrxl_20211021t203526148_d_fp_d18.zip,-82.359411,-137.491644,1.76,ch2_sar_nrxl_20211021t203526148_d_fp_d18.zip; ch2_sar_nrxl_20210924t151304673_d_fp_d18.zip; ch2_sar_ncxl_20211021t203526148_d_fp_d18.zip
SP_824700_2291520,-82.47,229.152,15.797,75,Ashbrook Crater Kocher Crater,ch2_sar_nrxl_20210827t232320179_d_fp_d18.zip,-82.468681,-131.32094,1.88,ch2_sar_nrxl_20210827t232320179_d_fp_d18.zip; ch2_sar_nrxl_20220207t124047927_d_fp_d18.zip; ch2_sar_nrxl_20230324t023452659_d_fp_d32.zip
SP_822410_0595740,-82.241,59.574,12.406,100,von Baeyer Crater,ch2_sar_ncxl_20231014t083449362_d_fp_d18.zip,-82.281774,59.974718,2.05,ch2_sar_ncxl_20231014t083449362_d_fp_d18.zip; ch2_sar_nrxl_20231014t063649701_d_fp_d18.zip; ch2_sar_nrxl_20231014t083449362_d_fp_d18.zip
SP_882490_2164550,-88.249,216.455,548.791,90,Sverdrup Crater,ch2_sar_ncxl_20210316t083945788_d_fp_d18.zip,-88.274365,-145.616915,2.06,ch2_sar_ncxl_20210316t083945788_d_fp_d18.zip; ch2_sar_ncxl_20210316t064045741_d_fp_d18.zip; ch2_sar_ncxl_20210316t024244412_d_fp_d18.zip
SP_890390_3377770,-89.039,337.777,60.358,0,Haworth Crater Shackleton Crater,ch2_sar_ncxl_20250930t114950175_d_cp_d18.zip,-88.989875,-19.437723,2.08,ch2_sar_ncxl_20250930t114950175_d_cp_d18.zip; ch2_sar_nrxl_20250930t114950175_d_cp_d18.zip; ch2_sar_ncxl_20250930t134745595_d_cp_d18.zip
SP_824450_2271370,-82.445,227.137,19.994,75,Ashbrook Crater Kocher Crater,ch2_sar_ncxl_20230324t082854662_d_fp_d32.zip,-82.473308,-133.459192,2.52,ch2_sar_ncxl_20230324t082854662_d_fp_d32.zip; ch2_sar_nrxl_20230324t082854662_d_fp_d32.zip; ch2_sar_nrxl_20210827t232320179_d_fp_d18.zip
SP_874430_1188390,-87.443,118.839,61.47,80,Slater Crater,ch2_sar_nrxl_20250410t210709087_d_cp_d18.zip,-87.394908,120.363917,2.54,ch2_sar_nrxl_20250410t210709087_d_cp_d18.zip; ch2_sar_ncxl_20250410t210709087_d_cp_d18.zip; ch2_sar_ncxl_20241003t045028559_d_cp_d18.zip
