PSR_ID,Lat,Lon,Area_km2,Perimeter_km,Nearby_Features,Coverage_pct,Data_Quality
SP_800780_0456630,-80.078,45.663,37.076,77.52,Scott Crater,75,2
SP_802260_0424290,-80.226,42.429,99.558,121.08,Scott E Scott,50,
SP_804240_1354850,-80.424,135.485,155.074,171.84,Nefed'ev Crater,100,1
SP_804520_0401760,-80.452,40.176,10.001,31.56,Scott E,0,
SP_804590_3088780,-80.459,308.878,15.011,24.234,Cabeus A Cabeus B,100,0
SP_804650_0491050,-80.465,49.105,17.986,24.84,Demonax C Scott Crater,75,1
SP_806510_0507610,-80.651,50.761,14.951,52.8,Demonax C Scott Crater,100,
SP_806710_1408660,-80.671,140.866,18.673,60.72,Nefed'ev Crater Schrodinger Crater,90,
SP_807910_0455060,-80.791,45.506,85.18,109.08,Scott Crater,60,1
SP_809640_3141160,-80.964,314.116,11.815,18.12,Cabeus A,90,1
SP_809710_0357350,-80.971,35.735,166.374,98.615,Scott E,95,0
SP_810340_0483070,-81.034,48.307,11.534,46.44,Scott Crater,100,1
SP_811730_0441340,-81.173,44.134,20.416,71.52,Scott,60,2
SP_812090_0460390,-81.209,46.039,32.994,102.36,Scott Crater,80,1
SP_814340_3246240,-81.434,324.624,19.368,29.76,Cabeus A,90,1
SP_814440_3172250,-81.444,317.225,98.23,85.56,Cabeus A,100,0
SP_816240_3094250,-81.624,309.425,10.289,29.52,Cabeus B,90,0
SP_816480_0652210,-81.648,65.221,79.788,35.855,Svedberg Crater,70,2
SP_816910_3053810,-81.691,305.381,376.916,197.4,Cabeus B,100,0
SP_816970_3196200,-81.697,319.62,15.34,36.12,Cabeus A,100,0
SP_817610_0619190,-81.761,61.919,79.142,46.92,von Baeyer Crater,100,1
SP_818450_3211710,-81.845,321.171,22.666,47.52,Cabeus A,100,1
SP_818790_1353780,-81.879,135.378,16.272,23.28,Nefed'ev Crater,80,0
SP_819690_0250940,-81.969,25.094,95.083,80.04,Scott E Malapert E,100,0
SP_819860_1568660,-81.986,156.866,10.732,17.64,Braude Crater,100,
SP_820540_0583270,-82.054,58.327,12.103,22.2,von Baeyer Crater,90,1
SP_821760_0111040,-82.176,11.104,300.589,109.003,Malapert F Malapert E,90,0
SP_822410_0595740,-82.241,59.574,12.406,20.88,von Baeyer Crater,100,1
SP_822730_2243490,-82.273,224.349,15.289,40.92,Kocher Crater Laveran Crater,100,1
SP_822920_2211100,-82.292,221.11,16.52,29.64,Kocher Crater Laveran Crater,95,2
SP_823050_2226590,-82.305,222.659,30.334,42.84,Kocher Crater Laveran Crater,100,1
SP_823280_2534270,-82.328,253.427,15.588,24.96,Ashbrook Crater,95,1
SP_823350_2167510,-82.335,216.751,16.088,19.08,Kocher Crater Laveran Crater,100,1
SP_823950_3576610,-82.395,357.661,61.238,73.146,Newton B Malapert C,70,1
SP_824450_2271370,-82.445,227.137,19.994,23.4,Ashbrook Crater Kocher Crater,75,1
SP_824700_2291520,-82.47,229.152,15.797,23.04,Ashbrook Crater Kocher Crater,75,1
SP_824820_3550120,-82.482,355.012,124.33,100.267,Newton B,80,0
SP_825890_0285130,-82.589,28.513,11.779,37.8,Scott Crater Malapert E,80,1
SP_828530_0080500,-82.853,8.05,119.171,115.32,Malapert F Malapert E,90,0
SP_828910_2713550,-82.891,271.355,73.746,62.64,Drygalski Crater Drygalski P,100,0
SP_830080_0535120,-83.008,53.512,22.424,28.92,Wapowski Crater,95,0
SP_830490_3505380,-83.049,350.538,101.758,125.16,Newton B,100,0
SP_830550_0674490,-83.055,67.449,129.557,171.96,Demonax B,100,0
SP_830760_0866010,-83.076,86.601,28.922,71.76,Amundsen Crater,100,1
SP_831370_3119250,-83.137,311.925,12.244,35.52,Cabeus B Cabeus Crater,100,1
SP_832050_0736210,-83.205,73.621,17.482,33,Amundsen Demonax B,100,1
SP_832600_0820620,-83.26,82.062,138.251,158.52,Amundsen Crater,100,0
SP_832640_0090770,-83.264,9.077,32.494,27.96,Malapert E Malapert F,100,1
SP_832830_2218380,-83.283,221.838,11.426,19.68,Kocher Crater Khun Crater,75,2
SP_832950_1495450,-83.295,149.545,114.437,144.84,Wiechert U,95,0
SP_833060_0855030,-83.306,85.503,36.115,61.92,Amundsen Crater,80,2
SP_834150_2749360,-83.415,274.936,37.213,155.88,Drygalski Crater Drygalski P Crater,90,1
SP_834700_1757740,-83.47,175.774,113.414,76.08,Wiechert E,95,0
SP_835040_2720960,-83.504,272.096,14.872,23.04,Drygalski Crater Drygalski P Crater,90,1
SP_835090_2977670,-83.509,297.767,17.449,23.64,Cabeus B Cabeus Crater,80,1
SP_835240_0910150,-83.524,91.015,439.222,413.28,Amundsen Crater,100,0
SP_835620_2995530,-83.562,299.553,10.102,24.96,Cabeus B Cabeus Crater,100,1
SP_836140_3528490,-83.614,352.849,15.106,31.08,Malapert Crater,100,1
SP_836320_2801250,-83.632,280.125,42.995,58.44,Drygalski Crater Ibn Baja,100,1
SP_836660_0840100,-83.666,84.01,45.522,84,Amundsen Crater,100,1
SP_837200_2975300,-83.72,297.53,10.055,21.48,Cabeus B Cabeus Crater,90,1
SP_837240_0195180,-83.724,19.518,17.651,24.36,Malapert E,90,0
SP_837240_2836250,-83.724,283.625,11.045,23.16,Drygalski Crater Ibn Bajja Crater,100,1
SP_837400_1630860,-83.74,163.086,194.702,104.4,Wiechert Crater,100,0
SP_837670_3387710,-83.767,338.771,142.949,76.44,Newton B Cabeus Crater,95,0
SP_838270_2552930,-83.827,255.293,16.553,20.4,Ashbrook Crater,70,1
SP_838590_2630960,-83.859,263.096,25.358,25.92,Ashbrook Crater Ibn Bajja Crater,75,1
SP_838780_3211110,-83.878,321.111,11.786,25.32,Cabeus Crater,90,1
SP_838860_2839350,-83.886,283.935,10.022,19.56,Drygalski Crater Ibn Bajja Crater,100,0
SP_838890_3143320,-83.889,314.332,17.69,22.92,Cabeus Crater,90,2
SP_838910_1184700,-83.891,118.47,326.779,102,Idel'son L,100,0
SP_839920_3091290,-83.992,309.129,74.405,71.88,Cabeus Crater,100,0
SP_839950_3514880,-83.995,351.488,13.273,17.88,Malapert Crater,90,1
SP_840980_0797630,-84.098,79.763,14.227,19.92,Amundsen Crater,15,2
SP_841060_3423520,-84.106,342.352,19.087,40.32,Cabeus Crater,100,1
SP_841420_0059530,-84.142,5.953,194.479,139.2,Malapert Crater,100,0
SP_841820_2710340,-84.182,271.034,61.996,85.92,Ashbrook Crater Ibn Bajja Crater,100,1
SP_842140_3232340,-84.214,323.234,14.018,39.96,Cabeus Crater,100,1
SP_842420_0421060,-84.242,42.106,25.459,25.44,Scott M,100,1
SP_842430_3468180,-84.243,346.818,41.069,34.32,Malapert Crater Cabeus Crater,95,1
SP_842890_0563440,-84.289,56.344,97.967,60.48,Nobile Crater,100,1
SP_843550_2251140,-84.355,225.114,76.698,61.92,Kocher Crater,100,0
SP_843560_1239210,-84.356,123.921,35.86,43.68,Idel'son L,100,0
SP_843700_3057300,-84.37,305.73,11.509,26.04,Cabeus Crater,60,1
SP_843960_1621040,-84.396,162.104,32.022,34.2,Wiechert P Wiechert Crater,100,
SP_843960_2077750,-84.396,207.775,72.338,43.2,Kuhn Crater,100,1
SP_843980_2899650,-84.398,289.965,19.771,39.36,Cabeus Crater Ibn Baja,50,
SP_844580_3134320,-84.458,313.432,315.029,340.92,Cabeus Crater,95,1
SP_845510_0602900,-84.551,60.29,182.268,114.12,Nobile Crater Amundsen Crater,90,0
SP_845640_2574190,-84.564,257.419,12.816,56.88,Ashbrook Crater Ibn Bajja Crater,80,1
SP_845770_0017070,-84.577,1.707,103.727,88.68,Malapert Crater,90,0
SP_846040_3080410,-84.604,308.041,13.583,46.32,Cabeus Crater,90,1
SP_846070_3232410,-84.607,323.241,43.204,79.56,Cabeus Crater,95,1
SP_846740_2192870,-84.674,219.287,28.843,30.96,Kocher Crater Kuhn Crater,85,1
SP_846850_3536460,-84.685,353.646,17.348,26.16,Malapert Crater,90,1
SP_846940_1753570,-84.694,175.357,30.427,52.44,Wiechert J Wiechert E,80,1
SP_846960_1555270,-84.696,155.527,15.113,35.04,Wiechert P Wiechert Crater,90,0
SP_847550_1500770,-84.755,150.077,72.857,98.04,Wiechert P,100,0
SP_847720_1650130,-84.772,165.013,11.588,24.24,Wiechert J Wiechert P,85,1
SP_847970_3070080,-84.797,307.008,22.626,61.56,Cabeus Crater,90,1
SP_848000_2061800,-84.8,206.18,20.624,37.2,Kuhn Crater,100,1
SP_849040_3196480,-84.904,319.648,19.48,34.44,Cabeus Crater,90,1
SP_849230_2362280,-84.923,236.228,10.379,16.8,Kocher Crater,85,1
SP_849420_0518590,-84.942,51.859,16.571,22.2,Nobile Crater,75,1
SP_849430_2908700,-84.943,290.87,49.381,67.32,Ibn Bajja Crater Cabeus Crater,95,0
SP_849450_1654340,-84.945,165.434,20.747,29.28,Wiechert J Wiechert P,80,1
SP_850230_1826070,-85.023,182.607,371.549,133.32,Wiechert J,90,0
SP_850590_3238160,-85.059,323.816,46.062,108.48,Cabeus Crater,95,0
SP_851970_2671550,-85.197,267.155,20.56,41.52,Ibn Bajja Crater Ashbrook Crater,90,1
SP_852110_2384420,-85.211,238.442,11.016,19.32,Kocher Crater,95,1
SP_852830_2061020,-85.283,206.102,15.988,23.28,Kocher Crater Wiechert J,85,1
SP_853570_0498630,-85.357,49.863,139.342,96.96,Nobile Crater,90,0
SP_853600_3177620,-85.36,317.762,42.566,65.16,Cabeus Crater,95,0
SP_853730_0452650,-85.373,45.265,18.454,25.32,Nobile Crater,85,1
SP_854060_3476220,-85.406,347.622,12.211,24.36,Malapert Crater Cabeus Crater,95,1
SP_854150_3078410,-85.415,307.841,127.296,87.36,Cabeus Crater,85,0
SP_855330_1655640,-85.533,165.564,17.694,20.88,Wiechert J Wiechert P,80,2
SP_855490_2096710,-85.549,209.671,13.928,31.68,Kocher Crater Wiechert J,50,2
